id,title_x,body,reason,refactor_type,agent,category
3265118634,ファイルパス参照を相対パスに統一し、doc/からdocs/に統一,## 背景  現在、本プロジェクトにおいて以下のパス構成の不整合が生じています：  - commands内のファイルでは絶対パス `/projects/ai/test18/` が使用されている - 実際のプロジェクト構成では相対パス `./` での参照が適切 - ディレクトリ名についても `doc/` と `docs/` が混在している状況  これらの不整合により、コマンドの実行時にファイルパスが正しく解決されない可能性があります。  ## 修正内容  ### パス参照の統一 - commands内の全ファイルで使用されている絶対パス `/projects/ai/test18/` を相対パス `./` に変更しました - README.mdのディレクトリ構造例も同様に修正しました  ### ディレクトリ名の統一 - commands内で使用されているディレクトリ名を `doc/` から `docs/` に統一しました  ## その他  本修正により、プロジェクト全体でのファイルパス参照が統一され、より一貫性のある開発環境を提供できるようになります。特に、開発者がコマンドを実行する際のパス解決に関する混乱を避けることができ、より安定した開発フローを実現できると考えております。  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude,"The changes unify file path references and directory names to improve consistency and prevent path resolution issues, which is a refactoring of existing code without adding features or fixing bugs.",Readability Refactoring (Docs / Comments / Formatting),Claude_Code,external quality attribute
3222101465,♻️ Refactor database schema design workflow to use function agents and messages,"## Issue    - resolve: #2504    ## Why is this change needed?  Refactored DesignSchemaNode and Agent to utilize LangGraph messages. messages makes it easier to retry by adding errors to the end of the messages.We are working on addressing this in the next PR.      🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude    ## Summary by CodeRabbit  * **New Features**   * Improved schema design workflow with a new, streamlined design agent for database schema operations.  * **Refactor**   * Replaced the previous class-based schema build agent with a functional design agent approach.   * Updated prompts and agent naming conventions for clarity and consistency.   * Simplified agent invocation and message handling for schema design tasks.  * **Bug Fixes**   * Adjusted agent message sender names to ensure accurate identification in chat history.  * **Tests**   * Updated and modernized test cases to use the new design agent interface and mocking strategy.  * **Chores**   * Removed obsolete exports, types, and configuration suppressions related to the old agent implementation.","The title and body clearly indicate a refactor of the database schema design workflow, focusing on code restructuring without adding new features or fixing bugs. The summary also highlights refactoring and code simplification.",Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3262310380,refactor: rename chain_dag to chain_let for semantic clarity,"## Summary  Renames chain_dag to chain_let throughout the codebase for semantic consistency with Let bindings.  **Stack Position: #4** - Builds on the full GFQL implementation and provides semantic consistency.  ## Stack Order  The complete GFQL stack (merge in this order): 1. PR #706: Core AST classes (ASTLet, ASTRemoteGraph, ASTChainRef) 2. PR #707: ASTCall implementation with validation 3. PR #709: GFQL directory restructuring and import path updates 4. **PR #713: This PR** - Rename chain_dag → chain_let for semantic consistency 5. PR #708: Comprehensive documentation (rebased onto #713)  ## Semantic Rename: chain_dag → chain_let  ### Rationale The original name ""chain_dag"" was misleading because: - The implementation executes DAG (Directed Acyclic Graph) operations - ""Chain"" implies sequential operations, but Let bindings enable parallel/branching execution - ""Let"" better reflects the semantic concept of variable binding and reuse  ### Files Renamed - `graphistry/compute/chain_dag.py` → `graphistry/compute/chain_let.py` - `graphistry/compute/gfql/chain_dag.py` → `graphistry/compute/gfql/chain_let.py`  ### Function Renames - `chain_dag()` → `chain_let()` - Public API function - `chain_dag_impl()` → `chain_let_impl()` - Internal implementation - All related helper functions and references  ### Import Updates - Updated all imports from `chain_dag` to `chain_let` - Updated function calls throughout the codebase - Updated test imports and references - Updated documentation references  ### Test File Updates - `test_chain_dag.py` → `test_chain_let.py` - `test_chain_dag_gpu.py` → `test_chain_let_gpu.py`  - `test_chain_dag_remote_integration.py` → `test_chain_let_remote_integration.py` - Updated test names and docstrings to use ""let"" terminology  ### API Compatibility - Added deprecation warnings for old `chain_dag()` function - Maintains backward compatibility during transition period - Clear migration path documented for users  ## Documentation Updates - Updated README references to use chain_let terminology - Updated integration test documentation - Updated code comments to reflect Let binding semantics - Enhanced clarity around DAG vs sequential operation concepts  ## Benefits - **Semantic Clarity**: Name now matches the actual functionality - **Consistency**: Aligns with Let binding terminology throughout GFQL - **User Understanding**: Clearer mental model for DAG-based operations - **Future Extensibility**: Better foundation for advanced Let binding features  This rename completes the semantic alignment of the GFQL implementation, making the codebase more intuitive and maintainable.  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude",title provides conventional commit label,Readability Refactoring (Renaming / Naming Consistency),Claude_Code,external quality attribute
3165677582,Refactor: Transform to GitHub Issue Management System (#1),Co-authored-by: Claude,title provides conventional commit label,Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3250200794,Refactor matrix functions for fixed dimension conventions,"Removes the `axis` parameter from matrix functions and enforces fixed dimension conventions for clarity and consistency.  - `nancorrmatrix`/`nancovmatrix` now expect `(..., vars, obs)` input. - `move_nancorrmatrix`/`move_nancovmatrix`/`move_exp_nancorrmatrix`/`move_exp_nancovmatrix` now expect `(..., obs, vars)` input. - Updates docstrings, examples, and tests to reflect these new conventions. - This simplifies the API and aligns with common data layouts for time series (observations as rows).  Co-authored-by: Claude",title provides conventional commit label,Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3114327280,Rename ResourceReference to ResourceTemplateReference in draft spec,This change renames the ResourceReference interface to ResourceTemplateReference to better reflect its purpose in the MCP specification. The interface is used specifically for referencing resource templates rather than resources themselves.  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude,"The change is a renaming of an interface to better reflect its purpose, which is a refactor since it does not add a feature or fix a bug but improves code clarity.",Readability Refactoring (Renaming / Naming Consistency),Claude_Code,external quality attribute
3255142482,refactor(webhooks): use REQUEST_TIME_OUT constant for outgoing webhooks,"## Summary - Replace hardcoded 5-second timeout with existing REQUEST_TIME_OUT constant (30s) for outgoing webhook requests - Remove OUTGOING_WEBHOOK_TIMEOUT_SECS constant from webhook modules   - Update both v1 and v2 webhook implementations to use consistent timeout behavior  ## Problem The current outgoing webhook timeout is hardcoded to 5 seconds, which is too restrictive and causes delivery failures for legacy systems that might take over 5 seconds to respond back.  ## Solution This PR addresses issue #8724 by: 1. Removing the hardcoded `OUTGOING_WEBHOOK_TIMEOUT_SECS` constant (5s) from:    - `crates/router/src/core/webhooks/types.rs`    - `crates/router/src/core/webhooks/outgoing.rs` 2. Using the existing `crate::consts::REQUEST_TIME_OUT` constant (30s) for consistency with other external API calls 3. Updating both `outgoing.rs` and `outgoing_v2.rs` implementations  ## Files Changed - `crates/router/src/core/webhooks/types.rs`: Removed OUTGOING_WEBHOOK_TIMEOUT_SECS constant - `crates/router/src/core/webhooks/outgoing.rs`: Use REQUEST_TIME_OUT instead of hardcoded timeout - `crates/router/src/core/webhooks/outgoing_v2.rs`: Use REQUEST_TIME_OUT instead of hardcoded timeout  ## Test plan - [x] Code compiles without errors for both v1 and v2 features - [x] Code formatted and follows style guidelines (just fmt) - [x] Clippy linting passes with no critical warnings - [x] All hardcoded timeout references removed successfully - [x] Both webhook implementations now use 30-second timeout consistently - [ ] Manual testing with webhook endpoints (requires deployed environment) - [ ] Verify 30-second timeout behavior works as expected with real webhook endpoints  Fixes #8724  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude",title provides conventional commit label,Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3197484474,[WIP] Refactor ForkId implementation to reduce technical debt,"## Summary **Work in Progress**: Refactoring ForkId implementation to address technical debt and brittleness patterns identified in issue #8903.  ### Phase 0 Quick Win: Unified Fork Lists ✅ - **Problem**: Separate `blockNumberForks` and `timestampForks` lists created duplicate processing logic and complex index arithmetic - **Solution**: Created unified `Fork` class supporting both block number and timestamp forks with chronological ordering - **Impact**: Eliminated duplicate forEach calls, simplified CRC calculation, removed index arithmetic complexity  ### Changes Made - ✅ **New `Fork` class**: Unified representation for block number and timestamp forks with proper chronological sorting - ✅ **Simplified `ForkIdManager`**: Single `allForks` list instead of separate block/timestamp lists - ✅ **Cleaner processing**: Single loop for CRC hash calculation instead of duplicate logic - ✅ **Better naming**: `remoteForkId` parameter and `chainHeadForkValue` variable for clarity - ✅ **Maintained compatibility**: All 63 existing tests pass without modification  ### Next Steps (Planned) - [ ] **Break blockchain dependency**: Extract ForkId creation from runtime blockchain state - [ ] **Separate RLP dependencies**: Move serialization logic out of domain model   - [ ] **Simplify peer validation**: Replace complex boolean logic with explicit state machine - [ ] **Decouple protocol layers**: Interface-based abstraction for protocol-specific handling  ### Test Results - **Unit Tests**: ✅ 63/63 ForkId tests passing - **Integration Tests**: ✅ All ethereum-core tests passing - **Backward Compatibility**: ✅ No public API changes  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude","The PR is focused on refactoring the ForkId implementation to reduce technical debt and simplify the code without adding new features or fixing bugs. It maintains existing functionality and tests pass without modification, indicating a refactor rather than a feature or fix.",Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3166880168,♻️ refactor: remove redundant column.unique field from schema,"Removes the redundant column.unique boolean field and consolidates uniqueness tracking through constraints system. This addresses GitHub issue #2140 by eliminating one of three ways to track column uniqueness.  Changes: - Remove column.unique field from schema definition - Create hasUniqueConstraint() utility function - Update all parsers (PostgreSQL, Schema.rb, Prisma, TBLS) to use constraints - Modify deparser to check constraints instead of column.unique - Update relationship logic to use constraint-based uniqueness checking - Fix all test files and update snapshots - Remove unique field references from agent package  Before: column.unique, UniqueConstraint, index.unique After: UniqueConstraint, index.unique (single source of truth)  🤖 Generated with [Claude Code](https://claude.ai/code)  Co-Authored-By: Claude","The commit removes a redundant field and refactors the codebase to use a single source of truth for uniqueness tracking without adding new features or fixing bugs. It reorganizes and cleans up the code structure, which is characteristic of a refactor.",Structural / Architectural Refactoring,Claude_Code,internal quality attribute
3150393125,Remove obsolete node labels for ws-daemon and registry-facade readiness,"## Description    Removes the node labels `gitpod.io/ws-daemon_ready_ns_*` and `gitpod.io/registry-facade_ready_ns_*` as they are no longer necessary since workspace scheduling now relies on taints instead of positive labels.    Changes:  - ws-manager-mk2: Remove NodeSelectorRequirements for obsolete labels  - node-labeler: Remove label constants and management logic while preserving taint functionality  - Documentation: Update to reflect taint-based scheduling approach    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude     ## Related Issue(s)    Fixes CLC-1326    ## How to test    Build a GCP packer image that applies taints on new nodes, but not labels, and assert workspaces can start.    ## Documentation      #### Preview status    gitpod:summary    ## Build Options     Build    - [ ] /werft with-werft        Run the build with werft instead of GHA  - [ ] leeway-no-cache  - [ ] /werft no-test        Run Leeway with `--dont-test`    Publish    - [ ] /werft publish-to-npm  - [ ] /werft publish-to-jb-marketplace    Installer    - [ ] analytics=segment  - [ ] with-dedicated-emulation  - [ ] workspace-feature-flags    Add desired feature flags to the end of the line above, space separated    Preview Environment / Integration Tests    - [ ] /werft with-local-preview        If enabled this will build `install/preview`  - [ ] /werft with-preview  - [ ] /werft with-large-vm  - [x] /werft with-gce-vm        If enabled this will create the environment on GCE infra  - [x] /werft preemptible        Saves cost. Untick this only if you're really sure you need a non-preemtible machine.  - [ ] with-integration-tests=all        Valid options are `all`, `workspace`, `webapp`, `ide`, `jetbrains`, `vscode`, `ssh`. If enabled, `with-preview` and `with-large-vm` will be enabled.  - [ ] with-monitoring      /hold","The PR removes obsolete node labels and related code, which is a refactor since it cleans up code and configuration without adding new features or fixing bugs.",Structural / Architectural Refactoring,Claude_Code,internal quality attribute
