,number,html_url,full_name,stars,refactoring review taxonomy,Explination,Evidence (exact reviewer comment),Why it was rejected (if applicable),
2.91E+09,9029,https://github.com/osmosis-labs/osmosis/pull/9029,osmosis-labs/osmosis,947,Code smell -Refactoring correctness,"The reviewer pointed out that the new helper function only wraps an existing method without adding value, which is evidence of a code smell and suggests a refactoring correctness issue because the change introduces redundancy instead of improvement.",,,
3.01E+09,1256,https://github.com/Zipstack/unstract/pull/1256,Zipstack/unstract,5513,Integration – API management; Management – Change dependency; Objective – Potential side effect,"The reviewer warned that the refactor might break existing clients, suggested versioning the API deployments for backward compatibility, and noted that dependent updates are needed in the python-client and batch run script, showing integration issues, change dependency, and potential side effects.",,,
3.15E+09,5296,https://github.com/RevenueCat/purchases-ios/pull/5296,RevenueCat/purchases-ios,2728,Quality – Coding convention; Objective – Unclear goal; Integration – API management,"The reviewer questioned the naming of the new variable suggesting “Identifier” would be clearer, discussed platform consistency between iOS and Android, and proposed marking it as internal for future API changes, showing attention to naming conventions, clarity of intent, and API management.",,,this is a merged one btw
3.13E+09,19396,https://github.com/vllm-project/vllm/pull/19396,vllm-project/vllm,53643,Quality – Coding convention; Integration – API management; Objective – Refactoring correctness,"The reviewer suggested renaming variables for clarity, removing deprecated parameters since the interface is internal, simplifying repeated code by using a local variable, and improving consistency across usage, which shows attention to coding conventions, internal API management, and correctness of the refactor.",,,
3.15E+09,2392,https://github.com/microsoft/onnxscript/pull/2392,microsoft/onnxscript,369,Objective – Scope change; Quality – Lack of documentation; Management – Change dependency,"The reviewer asked to split the PR because it mixed documentation updates with code changes, requested clearer examples using class-based rules, and later closed it after parts were merged elsewhere—showing concern for controlling the refactoring scope, improving documentation clarity, and managing related changes across multiple PRs.",,,
3.17E+09,4472,https://github.com/microsoft/ebpf-for-windows/pull/4472,microsoft/ebpf-for-windows,3268,Testing – Poor test quality; Testing – Absence of result; Objective – Refactoring correctness,"The reviewer repeatedly noted that tests were failing, asked the developer to debug and print detailed outputs for source, destination, and port, and requested reverting incorrect changes—showing concern about missing or failing tests, unclear validation of refactoring correctness, and the need for stronger test evidence.",,,
3.17E+09,252336,https://github.com/microsoft/vscode/pull/252336,microsoft/vscode,175171,Quality – Lack of documentation,"The reviewer requested that the developer add explanatory comments about the code changes, indicating a concern about missing documentation and insufficient explanation of implementation details.",,,
3.27E+09,424,https://github.com/Pikachuxxxx/Razix/pull/424,Pikachuxxxx/Razix,493,Refactoring – Refactoring correctness; Integration – Configuration issue; Objective – Feature support,"The reviewer asked to reorganize platform-specific input implementations (GLFW, Windows) for easier per-platform extension, remove the s_Instance pattern, and control selection via premake configuration—showing focus on correct refactoring of architecture, managing integration through configuration, and enabling feature support for new platforms.",,,
3.13E+09,2036,https://github.com/spcl/dace/pull/2036,spcl/dace,544,Objective – Unclear goal; Refactoring – Domain constraint; Quality – Lack of documentation; Objective – Scope change; Refactoring – Behavior preservation; Quality – Internal quality attribute,"Reviewers requested clearer explanation of the modular codegen design, asked how new backends like SYCL or LLVM IR would fit, discussed reorganization of passes and backend behavior, and suggested improving documentation and structure—showing concerns about unclear goals, domain boundaries, maintaining correct behavior, and internal documentation quality.",,"Closed and superseded by PR #2071 to consolidate the design documentation, not rejected for quality reasons.",
3.19E+09,2086,https://github.com/celestiaorg/celestia-core/pull/2086,celestiaorg/celestia-core,531,"Refactoring (Performance Optimization / Simplification), Internal Quality",Reviewer suggested simplifying the buffer logic to improve performance and fixing linting issues to maintain internal code quality.,,Temporarily closed due to low priority.(i don't know if that count as rejected or no ),
